,address,ageLimit,area,avg,community,decoration,district,floor,street,sum,tag,title,type,url,years
10,金悦路68号,70年,134㎡,16268                    元/平,银亿海悦花苑,精装修,镇海,中层/共11层,骆驼,218万,"['免税', '满五年', '05-12', '0人已浏览']",海悦花苑134平全新精装3双厅无税218万楼层视线好诚心出售,3室2厅2卫,http://nb.58.com/ershoufang/34061936044103x.shtml,2012年建
11,郎官路288号,70年,74㎡,7972                    元/平,开元九龙湖畔,毛坯,镇海,低层/共18层,骆驼,59万,"['满二唯一', '21小时前', '0人已浏览']",首付24万买现房，即买即住，可落户上学，全款付优先选房再优惠,3室2厅1卫,http://short.58.com/zd_p/9b911d38-1dcb-48c4-b370-d5016eeaa762/?target=od-16-xgk_psfegvimob_88028370376420q-feykn&end=end,2018年建
12,慈海南路557号,40年,60㎡,10500                    元/平,上城印象,豪华装修,镇海,高层/共21层,骆驼,63万,"['满五唯一', '新上房源', '2小时前', '0人已浏览']",落地窗！采光好，新城商务CBD旁靠近公园， 地铁口畅行租金高,2室1厅1卫,http://short.58.com/zd_p/3459b110-dff2-42f3-bbee-81ced83ef38a/?target=od-16-xgk_psfegvimob_85748968580746q-feykn&end=end,2017年建
13,慈海南路557号,40年,42㎡,10714                    元/平,上城印象,豪华装修,镇海,高层/共21层,骆驼,45万,"['满二唯一', '新上房源', '2天前', '0人已浏览']",镇海新城低总价包租包管理高租金2500、让您无忧高品质生活,1室1厅1卫,http://short.58.com/zd_p/e69c91b0-4688-47e3-9619-ca013b318d51/?target=od-16-xgk_psfegvimob_85748622161517q-feykn&end=end,2017年建
14,郎家坪,70年,74㎡,7972                    元/平,春漫里,毛坯,镇海,低层/共18层,骆驼,59万,"['05-15', '0人已浏览']",74平，59万，首付24万，全款再减4万，70年产权可落户,3室2厅1卫,http://short.58.com/zd_p/504a1f98-9659-4192-bb83-6d61cd8bdfb1/?target=od-16-xgk_psfegvimob_85428034108824q-feykn&end=end,2018年建
15,慈海南路557号,40年,60.5㎡,10247                    元/平,上城印象,豪华装修,镇海,高层/共21层,骆驼,62万,"['新上房源', '2小时前', '0人已浏览']",区政府旁两室朝南：包租8年稳定收益：租金3500轻松低月供,2室1厅1卫,http://short.58.com/zd_p/73fc8249-24a7-48e6-9fe7-9bc1bc42323d/?target=od-16-xgk_psfegvimob_85771017351770q-feykn&end=end,建筑年代(暂无信息)
16,永平西路777号,70年,105㎡,20000                    元/平,保利城1期,豪华装修,镇海,低层/共18层,骆驼,210万,"['满两年', '新上房源', '22小时前', '0人已浏览']",地中海风格，装修花了40万，房东置换房子，挥泪转让，无营业税,3室2厅2卫,http://short.58.com/zd_p/4809b2c2-9c7e-4851-96c5-13ca80cd7e37/?target=od-16-xgk_psfegvimob_85770380737340q-feykn&end=end,2012年建
17,永平西路777号,70年,110㎡,19090                    元/平,保利城1期,精装修,镇海,中层/共11层,骆驼,210万,"['满二唯一', '新上房源', '2小时前', '0人已浏览']",保利城110平三室精装修黄 金楼层，无营业税,3室2厅2卫,http://short.58.com/zd_p/b958d3ab-7b99-496b-a2a0-32786c697ea2/?target=od-16-xgk_psfegvimob_85739804541839q-feykn&end=end,2014年建
18,永平西路777号,70年,220㎡,15000                    元/平,保利城1期,豪华装修,镇海,低层/共18层,骆驼,330万,"['满两年', '04-18', '0人已浏览']",保利城1期，一楼加地下，220平，东首,3室2厅2卫,http://short.58.com/zd_p/560266ba-27ee-4ea5-b579-c8ef237c1767/?target=od-16-xgk_psfegvimob_88028076564927q-feykn&end=end,2013年建
19,慈海南路557号,40年,60㎡,10500                    元/平,上城印象,毛坯,镇海,高层/共21层,骆驼,63万,"['05-10', '0人已浏览']",上城印象 温馨小屋 交通便捷 商业街就在旁边,2室1厅1卫,http://short.58.com/zd_p/1511ff81-a903-4918-b631-7a77246a749a/?target=od-16-xgk_psfegvimob_88565965674450q-feykn&end=end,建筑年代(暂无信息)
20,金悦路68号,70年,126㎡,14126                    元/平,银亿海悦花苑,精装修,镇海,中层/共18层,骆驼,178万,"['05-01', '0人已浏览']",海悦花苑精装126平，仅售178万，拎包入住欲购从速,3室2厅2卫,http://short.58.com/zd_p/affcd087-bdc0-4cb1-8eec-a2f0c35d0bc6/?target=od-16-xgk_psfegvimob_88169052647916q-feykn&end=end,2014年建
21,御水路,70年,129㎡,10465                    元/平,恒大山水城,精装修,镇海,中层/共17层,骆驼,135万,"['新上房源', '4小时前', '0人已浏览']",恒大现房！近130平！精装修！送家具！买到你就赚到！欢迎来电,3室2厅2卫,http://short.58.com/zd_p/80c5f8da-4898-4221-96d3-ad1fe7f45a02/?target=od-16-xgk_psfegvimob_85731653615370q-feykn&end=end,2016年建
22,金悦路67号,70年,120.8㎡,11589                    元/平,金邑华庭,毛坯,镇海,中层/共15层,骆驼,140万,"['满二唯一', '4小时前', '0人已浏览']",1.1万单价（区府旁）1.1万单价（区府旁）不买等啥子,3室2厅1卫,http://short.58.com/zd_p/35871ca1-9bc9-4897-b1ed-833c417413f5/?target=od-16-xgk_psfegvimob_85467552073726q-feykn&end=end,2012年建
23,金悦路67号,70年,122㎡,11475                    元/平,金邑华庭,毛坯,镇海,低层/共18层,骆驼,140万,"['满两年', '新上房源', '3小时前', '0人已浏览']",金邑华庭120平140万毛坯小三房诚心出售140万需要的快点,3室2厅1卫,http://short.58.com/zd_p/fb5a7706-8e72-4d51-b79f-7f1c96acc7b8/?target=od-16-xgk_psfegvimob_85739487403457q-feykn&end=end,2012年建
24,郎家坪,70年,177.2㎡,18623                    元/平,春漫里(别墅),毛坯,镇海,共4层,骆驼,330万,"['3小时前', '0人已浏览']",镇海开元九龙湖畔四期春漫里-轻奢型别墅33幢06号,5室2厅3卫,http://short.58.com/zd_p/32b28acb-8106-43cb-a8b2-b18d2ce9bce0/?target=od-16-xgk_psfegvimob_88568728360811q-feykn&end=end,2015年建
25,慈海南路557号,40年,60㎡,10833                    元/平,上城印象,豪华装修,镇海,高层/共21层,骆驼,65万,"['2小时前', '0人已浏览']",（售楼处直售）镇海新城地铁口精装修的房子,2室1厅1卫,http://short.58.com/zd_p/ed70af61-dc45-4b0c-ae69-488de2499580/?target=od-16-xgk_psfegvimob_88246986948493q-feykn&end=end,建筑年代(暂无信息)
26,御水路,70年,129㎡,10310                    元/平,恒大山水城,精装修,镇海,中层/共18层,骆驼,133万,"['4小时前', '0人已浏览']",恒大东苑，南北通透楼层好，精装133万,3室2厅2卫,http://short.58.com/zd_p/d1ea0d12-5f88-4f56-80f7-3543172c89ab/?target=od-16-xgk_psfegvimob_85456535266386q-feykn&end=end,2017年建
27,骆兴西路304号,70年,151㎡,11589                    元/平,华丰星城,毛坯,镇海,中层/共6层,骆驼,175万,"['满五年', '新上房源', '18小时前', '0人已浏览']",华丰星城151平175W！真实存在！房东急售！毛坯,4室2厅2卫,http://short.58.com/zd_p/ec86c350-bb63-4273-b6a7-d872ef6a8e3c/?target=od-16-xgk_psfegvimob_85772820968003q-feykn&end=end,2007年建
28,金悦路67号,70年,96㎡,15104                    元/平,金邑华庭,精装修,镇海,中层/共11层,骆驼,145万,"['05-13', '0人已浏览']",金邑华庭96平2空2厅1卫，精装修，南北通透，户型好交通方便,3室2厅1卫,http://short.58.com/zd_p/d6c0dab0-39f9-4fe6-92ca-38fe42c74c01/?target=od-16-xgk_psfegvimob_85407636781563q-feykn&end=end,2012年建
29,永平西路777号,70年,138㎡,18840                    元/平,保利城1期,精装修,镇海,低层/共18层,骆驼,260万,"['新上房源', '2小时前', '0人已浏览']",保利城二期 138平精装带车位 可VR看房 价格可谈,3室2厅2卫,http://short.58.com/zd_p/4b92754a-5408-473c-bedc-750a7f1df72a/?target=od-16-xgk_psfegvimob_85739820813737q-feykn&end=end,2015年建
30,慈海南路,70年,88㎡,15000                    元/平,盛世华庭,毛坯,镇海,中层/共18层,骆驼,132万,"['满两年', '3小时前', '0人已浏览']",盛世华庭88平白坯卖132万,2室2厅1卫,http://short.58.com/zd_p/64aeb473-60d5-4cfb-9ae9-129f676fdfb0/?target=od-16-xgk_psfegvimob_85403798825330q-feykn&end=end,2016年建
31,骆西路1号,40年,95㎡,8947                    元/平,利时爱丁堡,毛坯,镇海,中层/共17层,骆驼,85万,"['满五唯一', '05-12', '0人已浏览']",利时广场爱丁堡复式3室2厅2卫,3室2厅2卫,http://short.58.com/zd_p/be640688-4a22-4190-b831-3e6084ea019e/?target=od-16-xgk_psfegvimob_85497638743361q-feykn&end=end,2014年建
32,御水路,70年,129.12㎡,10068                    元/平,恒大山水城,精装修,镇海,中层/共18层,骆驼,130万,"['新上房源', '2天前', '0人已浏览']",恒大山水城129.12精装修售价130万送全新家具未住过,3室2厅2卫,http://short.58.com/zd_p/3bd33bf4-e8e9-4b8e-98c6-b98143144e33/?target=od-16-xgk_psfegvimob_85745099602363q-feykn&end=end,2017年建
33,永平西路318号,70年,98㎡,16530                    元/平,保亿风景御园,毛坯,镇海,中层/共11层,骆驼,162万,"['05-04', '0人已浏览']",风景御园 3房 98平方 读镇海艺术实验小学 尚志中学,3室2厅1卫,http://nb.58.com/ershoufang/33741089191754x.shtml,2016年建
34,路下徐村路,70年,72.95㎡,9047                    元/平,九龙家苑三期,毛坯,镇海,中层/共11层,骆驼,66万,"['05-15', '0人已浏览']",九龙家苑三期2居室73平白坯66万，户型方正，无营业税,2室2厅1卫,http://nb.58.com/ershoufang/34094037467086x.shtml,2016年建
35,骆兴西路304号,70年,94㎡,13297                    元/平,华丰星城,简单装修,镇海,低层/共6层,骆驼,125万,"['满两年', '04-27', '0人已浏览']",华丰星城94平125万 实惠3房 简单装修当毛坯卖，诚意出售,3室2厅1卫,http://nb.58.com/ershoufang/33894238022827x.shtml,2015年建
36,路下徐村路,70年,122㎡,9016                    元/平,九龙家苑三期,毛坯,镇海,中层/共18层,骆驼,110万,"['满两年', '新上房源', '1天前', '0人已浏览']",九龙家苑三期 122平110万首付一半 全新毛坯 可随意装修,3室2厅1卫,http://nb.58.com/ershoufang/34114365742266x.shtml,2017年建
37,"镇海大道,慈海南路",70年,103㎡,13106                    元/平,骆城华苑,毛坯,镇海,高层/共18层,骆驼,135万,"['05-09', '0人已浏览']",骆城华苑102坪135万 抢手落户的俱佳选择 仅此一套手慢无,3室2厅1卫,http://nb.58.com/ershoufang/34027870488622x.shtml,2016年建
38,骆西路1号,40年,74㎡,9324                    元/平,利时爱丁堡,毛坯,镇海,低层/共12层,骆驼,69万,"['满五唯一', '新上房源', '42分钟前', '0人已浏览']",LOFT公寓 利时广场旁 投姿自住两不误 爱丁堡 地铁口现房,5室2厅2卫,http://nb.58.com/ershoufang/34127400383403x.shtml,2015年建
39,通园北路199号,70年,66.5㎡,16541                    元/平,小骆花园,精装修,镇海,高层/共12层,骆驼,110万,"['新上房源', '47分钟前', '0人已浏览']",小骆花园 66平 精装修 110万 满5无个税,2室2厅1卫,http://nb.58.com/ershoufang/34127366477756x.shtml,2010年建
40,通园北路199号,70年,112㎡,12946                    元/平,小骆花园,精装修,镇海,中层/共12层,骆驼,145万,"['满两年', '新上房源', '1小时前', '0人已浏览']",小骆花园东首112平方精装145万急抛了，拎包入住,3室2厅2卫,http://nb.58.com/ershoufang/34126946331727x.shtml,2010年建
41,慈海南路,70年,109㎡,20183                    元/平,盛世华庭,豪华装修,镇海,中层/共16层,骆驼,220万,"['满两年', '新上房源', '1小时前', '0人已浏览']",盛世华庭11楼3室1厅109平方婚装220万,3室1厅1卫,http://nb.58.com/ershoufang/34126945473339x.shtml,2012年建
42,慈海南路,40年,70㎡,9000                    元/平,万宝公馆,毛坯,镇海,中层/共17层,骆驼,63万,"['满两年', '新上房源', '1小时前', '0人已浏览']",红星广场 出售四室两厅两卫投姿自住两不误 爱丁堡 配套齐全,4室2厅2卫,http://nb.58.com/ershoufang/34126931228997x.shtml,2015年建
43,金华北路238号,70年,117㎡,14358                    元/平,金邑水岸,精装修,镇海,低层/共9层,骆驼,168万,"['满两年', '新上房源', '3小时前', '0人已浏览']",金邑水岸3居室117平精装168万，送家具家电，拎包入住,3室2厅2卫,http://nb.58.com/ershoufang/34125948013113x.shtml,2009年建
44,静远西路,70年,183㎡,15792                    元/平,锦绣江南,毛坯,镇海,高层/共18层,骆驼,289万,"['唯一住房', '05-14', '0人已浏览']",锦绣江南 183平方 复式全新白坯 好楼层 289万出售,3室2厅2卫,http://nb.58.com/ershoufang/34084747352763x.shtml,2016年建
45,慈海南路,70年,51㎡,12941                    元/平,万宝公馆,精装修,镇海,低层/共27层,骆驼,66万,"['新上房源', '2小时前', '0人已浏览']",万宝公馆 51平方 精装 66万 不要错过,1室1厅1卫,http://nb.58.com/ershoufang/34126411964458x.shtml,2016年建
46,永平西路777号,70年,138㎡,18840                    元/平,保利城1期,精装修,镇海,低层/共18层,骆驼,260万,"['新上房源', '2小时前', '0人已浏览']",保利城二期 138平精装带车位 可VR看房 价格可谈,3室2厅2卫,http://nb.58.com/ershoufang/34126397352121x.shtml,2015年建
47,骆西路1号,40年,70㎡,9000                    元/平,利时爱丁堡,毛坯,镇海,高层/共17层,骆驼,63万,"['新上房源', '3小时前', '0人已浏览']",开发商）骆驼红星国际广场 幸福时代 复式现房 买一层享两层,2室2厅1卫,http://nb.58.com/ershoufang/34126293453866x.shtml,2017年建
48,"永茂西路,近望海南路",70年,116㎡,15086                    元/平,吾悦广场一期,毛坯,镇海,中层/共18层,骆驼,175万,"['新上房源', '3小时前', '0人已浏览']",吾悦广场116平毛坯175万急抛,3室2厅2卫,http://nb.58.com/ershoufang/34126345627059x.shtml,2015年建
49,慈海南路557号,70年,60㎡,8500                    元/平,上城印象,精装修,镇海,低层/共21层,骆驼,51万,"['满五唯一', '新上房源', '3小时前', '0人已浏览']",地铁旁精装60平 两室一厅 独立厨卫 内设小衣帽间！,2室1厅1卫,http://nb.58.com/ershoufang/34126238709451x.shtml,2016年建
50,永平西路777号,70年,139.45㎡,17927                    元/平,保利城1期,毛坯,镇海,高层/共18层,骆驼,250万,"['唯一住房', '新上房源', '3小时前', '0人已浏览']",保利城一期毛坯出售，满五唯一，可小刀,3室2厅2卫,http://nb.58.com/ershoufang/34125991094703x.shtml,2013年建
51,金悦路67号,70年,120.4㎡,11627                    元/平,金邑华庭,毛坯,镇海,中层/共10层,骆驼,140万,"['满二唯一', '新上房源', '3小时前', '0人已浏览']",单价1.1秒杀单价1.1秒杀单价1.1秒杀,3室2厅1卫,http://nb.58.com/ershoufang/34125972613698x.shtml,2012年建
52,慈海南路557号,40年,60㎡,10833                    元/平,上城印象,精装修,镇海,中层/共21层,骆驼,65万,"['05-01', '0人已浏览']",小户型温馨小屋两室一厅精装修交通便捷拎包入住,2室1厅1卫,http://nb.58.com/ershoufang/33761712875592x.shtml,建筑年代(暂无信息)
53,"骆兴西路,近西大河北路",70年,190㎡,9736                    元/平,骆兴家园一期,精装修,镇海,高层/共6层,骆驼,185万,"['满两年', '新上房源', '4小时前', '0人已浏览']",骆兴家园顶加阁190平185万每平不到1万四房满足您的需求,4室2厅2卫,http://nb.58.com/ershoufang/34125848417739x.shtml,2012年建
54,九龙大道,70年,101.64㎡,9543                    元/平,九龙家苑四期,毛坯,镇海,中层/共11层,骆驼,97万,"['满两年', '新上房源', '4小时前', '0人已浏览']",九龙家苑四期101.6平白坯急抛97万，首付60万无营业税！,3室2厅1卫,http://nb.58.com/ershoufang/34125663918404x.shtml,2017年建
55,骆兴西路678号,70年,86㎡,16395                    元/平,东邑锦苑,毛坯,镇海,低层/共18层,骆驼,141万,"['满两年', '新上房源', '1天前', '0人已浏览']",东邑锦苑全新毛坯86平方南北通透三室一厅好楼层141万,3室1厅1卫,http://nb.58.com/ershoufang/34115294739891x.shtml,2016年建
56,三五路396号,70年,79㎡,18354                    元/平,银亿海尚广场,精装修,镇海,高层/共18层,骆驼,145万,"['满两年', '新上房源', '16小时前', '0人已浏览']",银亿海尚广场79平经典小户型婚装145万可议价,2室2厅1卫,http://nb.58.com/ershoufang/34120143891138x.shtml,2012年建
57,东邑北路,70年,98㎡,14081                    元/平,华丰花园,简单装修,镇海,中层/共6层,骆驼,138万,"['满两年', '新上房源', '22小时前', '0人已浏览']",华丰花园98平方米138万元,3室2厅1卫,http://nb.58.com/ershoufang/34117326163371x.shtml,2005年建
58,"骆兴西路,近东邑北路",70年,80㎡,16500                    元/平,骆兴家园二期,精装修,镇海,中层/共6层,骆驼,132万,"['满五年', '新上房源', '1天前', '0人已浏览']",好房源：骆兴家园，钻石楼层，婚装一年，交通便利，欲购从速,2室2厅1卫,http://nb.58.com/ershoufang/34114764196289x.shtml,2008年建
59,"骆兴西路,近东邑北路",70年,80㎡,16500                    元/平,骆兴家园二期,精装修,镇海,中层/共6层,骆驼,132万,"['满两年', '新上房源', '1天前', '0人已浏览']",欧尚旁好楼层精装无税房急售 新城成熟小区 低总价,2室1厅1卫,http://nb.58.com/ershoufang/34109668261062x.shtml,2006年建
60,"骆兴西路,近西大河北路",70年,103㎡,15145                    元/平,骆兴家园一期,精装修,镇海,中层/共6层,骆驼,156万,"['满五唯一', '新上房源', '2天前', '0人已浏览']",骆兴家园103平3房！成熟小区得房率高！住着舒服！,3室2厅2卫,http://nb.58.com/ershoufang/34104005134386x.shtml,2010年建
61,通园北路199号,70年,89.07㎡,16840                    元/平,小骆花园,精装修,镇海,中层/共12层,骆驼,150万,"['满两年', '05-15', '0人已浏览']",小骆花园婚装 小户型 89平诚售150万 有意者来电,3室2厅1卫,http://nb.58.com/ershoufang/34092888504651x.shtml,2010年建
62,"骆兴西路,近东邑北路",70年,80㎡,16625                    元/平,骆兴家园二期,精装修,镇海,中层/共6层,骆驼,133万,"['满五唯一', '05-14', '0人已浏览']",骆兴家园二期 精装修 房东急卖 中间楼层 还送车棚,2室2厅1卫,http://nb.58.com/ershoufang/34083227883948x.shtml,2004年建
